Comp,Tech,Type,Mem_Type,Port_Type,Capacity_kb,Words,Bits,VDDPE,VDDCE,Corner
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,18,512,36,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,18,512,36,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,18,512,36,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,2,64,32,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,2,64,32,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,2,64,32,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,9,256,36,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,9,256,36,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,9,256,36,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,32,512,64,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,32,512,64,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,32,512,64,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,8,128,64,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,8,128,64,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,8,128,64,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,16,256,64,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,16,256,64,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,16,256,64,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,36,512,72,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,36,512,72,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,36,512,72,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,4,128,32,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,4,128,32,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_2p_rvt_mvt,RF,Two,4,128,32,0.8,0.8,tt_0.80v_025c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,72,1024,72,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,72,1024,72,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,rf_sp_rvt_mvt,RF,Single,72,1024,72,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,64,1024,64,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,64,1024,64,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,64,1024,64,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,128,1024,128,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,128,1024,128,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,128,1024,128,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,256,2048,128,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,256,2048,128,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_sp_rvt_mvt,SRAM,Single,256,2048,128,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Single,20,512,40,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,20,512,40,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,20,512,40,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,40,1024,40,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,40,1024,40,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,40,1024,40,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,80,1024,80,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,80,1024,80,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,80,1024,80,0.8,0.8,tt_0.80v_025c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,160,2048,80,0.88,0.88,ffg_0.88v_125c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,160,2048,80,0.72,0.72,ssg_0.72v_m40c
ARM,12LPP,sram_dp_rvt_mvt,SRAM,Two,160,2048,80,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R1PV,RF,Single,9,256,36,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R1PV,RF,Single,9,256,36,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R1PV,RF,Single,9,256,36,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R1PV,RF,Single,18,512,36,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R1PV,RF,Single,18,512,36,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R1PV,RF,Single,18,512,36,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R1PV,RF,Single,36,512,72,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R1PV,RF,Single,36,512,72,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R1PV,RF,Single,36,512,72,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R1PV,RF,Single,72,1024,72,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R1PV,RF,Single,72,1024,72,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R1PV,RF,Single,72,1024,72,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R2PV,RF,Two,2,64,32,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R2PV,RF,Two,2,64,32,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R2PV,RF,Two,2,64,32,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R2PV,RF,Two,4,128,32,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R2PV,RF,Two,4,128,32,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R2PV,RF,Two,4,128,32,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R2PV,RF,Two,8,128,64,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R2PV,RF,Two,8,128,64,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R2PV,RF,Two,8,128,64,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,R2PV,RF,Two,16,256,64,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,R2PV,RF,Two,16,256,64,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,R2PV,RF,Two,16,256,64,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,S1DV,SRAM,Single,8,128,64,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,S1DV,SRAM,Single,8,128,64,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,S1DV,SRAM,Single,8,128,64,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,S1DV,SRAM,Single,16,256,64,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,S1DV,SRAM,Single,16,256,64,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,S1DV,SRAM,Single,16,256,64,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.8,0.8,tt_0.80v_025c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.88,0.88,ffg_0.88v_125c
SNPS,22FDX,S1DV,SRAM,Single,130,1040,128,0.72,0.72,ssg_0.72v_m40c
SNPS,22FDX,SDPV,SRAM,Two,18.5625,528,36,0.8,0.8,tt_0.80v_025c
